,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
49,000756.SZ,20181228,5.2745,6.1393,6.3199,5.17,6.0633,-0.7888000000000002,-13.0094,44853989.0,272397004.81
50,000756.SZ,20181130,6.0633,5.5881,6.6335,5.5026,5.5786,0.48470000000000013,8.6886,125059244.0,815764650.9
51,000756.SZ,20181031,5.5786,5.7972,5.8257,4.8183,5.8922,-0.3136000000000001,-5.3223,42728406.0,239162534.83
52,000756.SZ,20180928,5.8922,6.1488,6.3009,5.6546,6.1964,-0.3041999999999998,-4.9093,44258899.0,274962669.9
53,000756.SZ,20180831,6.1964,7.1562,7.1562,6.0633,7.1562,-0.9598000000000004,-13.4121,77639785.0,527902728.93
54,000756.SZ,20180731,7.1562,9.8077,10.4445,7.1087,9.8077,-2.6515000000000004,-27.0349,83204435.0,821655210.88
55,000756.SZ,20180629,7.508,8.9631,8.9631,7.0715,8.9631,-1.4551000000000007,-16.2343,57514216.0,629601280.01
56,000756.SZ,20180531,8.9631,9.9088,10.2508,8.8467,9.7342,-0.7710999999999988,-7.9216,108488144.0,1448076970.91
57,000756.SZ,20180427,9.7342,9.1013,9.8579,8.883,9.094,0.6402000000000001,7.0398,108371952.0,1400795300.88
58,000756.SZ,20180330,9.094,8.6648,10.1707,8.3156,8.6648,0.4291999999999998,4.9534,119302113.0,1507253999.8
59,000756.SZ,20180228,8.6648,8.3301,8.8394,8.0828,9.2177,-0.5529000000000011,-5.9982,33016517.0,382856341.9
60,000756.SZ,20180131,9.2395,10.2289,10.8983,9.0795,10.1853,-0.9458000000000002,-9.2859,98435115.0,1337218372.32
61,000756.SZ,20171229,10.1648,10.7457,11.0433,9.9034,10.7457,-0.5808999999999997,-5.4059,69512345.0,1000065993.46
62,000756.SZ,20171130,10.7457,12.5608,12.6915,9.8526,12.5608,-1.815100000000001,-14.4505,147252837.0,2272071261.74
63,000756.SZ,20171031,12.5608,11.2103,14.3542,11.1595,11.2176,1.3432000000000013,11.974,154012205.0,2736862668.66
64,000756.SZ,20170929,11.2176,11.3628,11.98,10.9707,11.3628,-0.14520000000000088,-1.2779,77500521.0,1230880438.52
65,000756.SZ,20170831,11.3628,10.5351,11.8711,9.9906,10.5351,0.8277000000000001,7.8566,95095923.0,1452433899.59
66,000756.SZ,20170731,10.5351,11.0651,11.1958,10.1793,11.0216,-0.4864999999999995,-4.4141,66959848.0,983268206.47
67,000756.SZ,20170630,11.0216,9.7292,11.2321,9.2282,9.6638,1.3577999999999992,14.0504,68867782.0,983175558.49
68,000756.SZ,20170531,9.6638,10.5641,10.7239,9.446,10.5569,-0.8931000000000004,-8.4599,42555856.0,592762890.34
69,000756.SZ,20170428,10.5569,10.0559,10.7602,9.8018,10.0777,0.4792000000000005,4.7551,74654765.0,1066592229.79
70,000756.SZ,20170331,10.0777,9.7219,10.6368,9.4533,9.7292,0.3484999999999996,3.582,118092860.0,1656574243.76
71,000756.SZ,20170228,9.7292,9.1048,9.9543,8.9959,9.1048,0.6244000000000014,6.8579,82727539.0,1079066278.5
72,000756.SZ,20170126,9.1048,9.0031,9.7147,8.9305,9.0031,0.10169999999999924,1.1296,59135214.0,758556616.45
73,000756.SZ,20161230,9.0031,9.4896,9.5549,8.4949,9.5331,-0.5299999999999994,-5.5596,60795762.0,758784580.5
74,000756.SZ,20161130,9.5331,9.5404,10.782,9.3516,9.4678,0.0652999999999988,0.6897,191268944.0,2634633526.98
75,000756.SZ,20161031,9.4678,9.4097,10.143,9.3081,9.3298,0.1379999999999999,1.4791,134073203.0,1813879118.77
76,000756.SZ,20160930,9.3298,9.9833,9.9833,8.8071,10.0414,-0.7115999999999989,-7.0867,158578018.0,2048626029.98
77,000756.SZ,20160831,10.0414,8.1173,11.0361,7.7107,8.1173,1.9240999999999993,23.7037,377185454.0,5082502903.88
78,000756.SZ,20160729,8.1064,7.8236,8.6865,7.7439,7.7801,0.3263000000000007,4.194,96531573.0,1098989612.49
79,000756.SZ,20160630,7.7801,7.7366,8.0122,7.2001,7.7294,0.05069999999999997,0.6559,71756397.0,760222595.18
80,000756.SZ,20160531,7.7294,8.4255,8.8243,7.1638,8.4182,-0.6888000000000005,-8.1823,64528598.0,709212417.07
81,000756.SZ,20160429,8.4182,8.0339,9.1868,7.7439,8.0992,0.31900000000000084,3.9387,111510677.0,1286792587.33
82,000756.SZ,20160331,8.0992,6.997,8.7227,6.9463,6.9463,1.1528999999999998,16.5973,111246484.0,1187415179.72
83,000756.SZ,20160229,6.9463,7.3523,8.9185,6.7795,7.3451,-0.3988000000000005,-5.4295,107989084.0,1213318781.61
84,000756.SZ,20160129,7.3451,9.6944,9.6944,6.8665,9.7234,-2.3782999999999994,-24.4596,120111292.0,1330001196.94
85,000756.SZ,20151231,9.7234,8.1137,10.5572,7.7656,8.0992,1.6242,20.0538,185671802.0,2357919432.6
86,000756.SZ,20151130,8.0992,7.8671,9.1941,7.6714,7.9759,0.12329999999999952,1.5459,192569260.0,2287591486.71
87,000756.SZ,20151030,7.9759,7.9179,9.2231,7.1276,8.7953,-0.819399999999999,-9.3163,226962726.0,2584998487.16
88,000756.SZ,20150731,8.792,8.7703,9.0308,4.8338,8.7486,0.043400000000000105,0.4961,226277110.0,2282851964.17
89,000756.SZ,20150630,8.7486,11.1437,13.7415,7.6125,11.0497,-2.3011,-20.825,356148667.0,5825543644.42
90,000756.SZ,20150529,11.0497,10.5649,12.0049,8.8861,10.5793,0.4703999999999997,4.4464,319851706.0,4816569085.51
91,000756.SZ,20150430,10.5793,8.119,12.6634,8.0032,8.1335,2.4458,30.0707,379926100.0,5346264497.93
92,000756.SZ,20150331,8.1335,6.1652,8.6762,6.1363,6.158,1.9754999999999994,32.0802,287695302.0,2847989560.99
93,000756.SZ,20150227,6.158,5.9771,6.2231,5.7455,6.006,0.15200000000000014,2.5308,48958746.0,407912258.57
94,000756.SZ,20150130,6.006,5.7383,6.2448,5.6442,5.7673,0.23870000000000058,4.1389,90525677.0,746622359.25
95,000756.SZ,20141231,5.7673,6.0495,6.7948,5.6298,6.0567,-0.28940000000000055,-4.7782,178801931.0,1524713784.89
96,000756.SZ,20141128,6.0567,6.404,6.4764,5.7166,6.3968,-0.3400999999999996,-5.3167,106345576.0,892904709.87
97,000756.SZ,20141031,6.3968,5.4054,7.475,5.3765,5.3403,1.0564999999999998,19.7835,266395388.0,2346280685.06
98,000756.SZ,20140930,5.3403,4.718,5.391,4.718,4.7035,0.6368,13.5389,101363518.0,715315433.5
99,000756.SZ,20140829,4.7035,4.7759,5.0798,4.6022,4.6167,0.08680000000000021,1.8801,118882390.0,800503482.19
100,000756.SZ,20140731,4.6167,3.9944,4.6746,3.9727,3.9871,0.6295999999999999,15.7909,103372780.0,623254449.86
101,000756.SZ,20140630,3.9737,3.9232,4.017,3.7574,3.9016,0.07209999999999983,1.848,29519516.0,159453445.0
102,000756.SZ,20140530,3.9016,3.7646,4.2982,3.7574,3.779,0.12260000000000026,3.2442,37974092.0,209732278.0
